seqnames	start	end	width	strand	stat	diff	ind.fdr	is.sig	probeID	logFC
chr1	1510883	1510883	1	*	11.7896845872126	0.0405718136311128	6.09981470565104e-23	TRUE	cg20755353	0.0623362275236415
chr1	1821981	1821981	1	*	7.0464960506018	0.0325048132460532	2.37075352989623e-10	TRUE	cg03716942	0.0635658448347484
chr1	1850414	1850414	1	*	7.61888926953293	0.0444792067770504	9.47221183071365e-12	TRUE	cg10943191	0.212078270166318
chr1	6454326	6454326	1	*	7.39680475823456	0.0992693492491335	3.04970845316362e-11	TRUE	cg25165880	0.483263096040185
chr1	6614341	6614341	1	*	11.0826436500191	0.0696649980747015	7.36711151513108e-21	TRUE	cg07274506	0.0243806115444273
chr1	6672620	6672620	1	*	8.19886429533471	0.08677897574124	3.00624455290451e-13	TRUE	cg06778853	0.254652417303713
chr1	7913081	7913081	1	*	6.73574508705966	0.0652629513343802	1.11438245577874e-09	TRUE	cg10500283	0.0518610006439677
chr1	9295432	9295432	1	*	12.0577749404626	0.048348093954563	1.017388137818e-23	TRUE	cg25284492	0.0230758279073773
chr1	10001911	10001911	1	*	8.78672986886967	0.0320620954692558	9.94587874747135e-15	TRUE	cg15226751	0.0334108688884184
chr1	11160205	11160205	1	*	7.35274135701208	0.0541095494801695	3.89898846187466e-11	TRUE	cg03617456	0.0548771665878661
chr1	11249046	11249046	1	*	11.0318949029282	0.0417126225490197	8.2924863075792e-21	TRUE	cg04508649	0.06378808648544
chr1	11249539	11249539	1	*	8.42896546354968	0.0283333333333337	8.67580495190675e-14	TRUE	cg21223353	0.581691117670004
chr1	11713540	11713540	1	*	8.10433565454351	0.0646719468574348	5.79443528755067e-13	TRUE	cg06848073	0.498325461001759
chr1	11907324	11907324	1	*	7.37998905074601	0.0450135487232935	3.65951061597252e-11	TRUE	cg06584407	0.0669736901799493
chr1	11919699	11919699	1	*	-12.0153557465051	-0.112645360030805	1.33894926597944e-23	TRUE	cg22927043	0.376395181945473
chr1	12078821	12078821	1	*	7.96648586933552	0.0270448150078166	1.33515007819877e-12	TRUE	cg15770654	0.0696979316526522
chr1	14029875	14029875	1	*	10.5607558033592	0.147160194174757	1.59643742765247e-19	TRUE	cg25402049	0.0464209763162024
chr1	14030611	14030611	1	*	8.66083697805015	0.0466362688900469	2.24212883016713e-14	TRUE	cg12379145	0.121904012221001
chr1	14032204	14032204	1	*	10.5260659629815	0.149123501823867	2.35534843466098e-19	TRUE	cg19324313	0.204097828558905
chr1	15736999	15736999	1	*	6.53045125136594	0.0730227185213708	3.56074926419766e-09	TRUE	cg25741794	-0.257114750754148
chr1	15783190	15783190	1	*	7.80309295135208	0.0305377800937988	3.40137173063408e-12	TRUE	cg15952725	0.0668841620431473
chr1	15986245	15986245	1	*	13.2750943364084	0.0847354166666667	4.71652809806912e-27	TRUE	cg09559551	0.0657783543694175
chr1	16062894	16062894	1	*	9.41816628999277	0.0666354719247323	2.06751116782498e-16	TRUE	cg15616400	0.0862146823775714
chr1	16330784	16330784	1	*	6.48810024032321	0.0318853135313534	4.32067137514193e-09	TRUE	cg24525573	0.270590538758094
chr1	17308032	17308032	1	*	6.9617145375071	0.0358006668013742	3.44740563411241e-10	TRUE	cg08477744	0.924207751936354
chr1	19185772	19185772	1	*	6.37740457835983	0.0443627450980393	7.49737353750361e-09	TRUE	cg18524091	0.0889576450284778
chr1	19186805	19186805	1	*	8.19507916241541	0.0632662238119572	3.41539928814932e-13	TRUE	cg21731286	0.0312170033424824
chr1	19229118	19229118	1	*	7.54128075446823	0.0257412398921833	1.50324850617892e-11	TRUE	cg21728447	0.0451158308493513
chr1	19577036	19577036	1	*	7.17775310693078	0.0571418988648093	1.10801824628291e-10	TRUE	cg10748867	0.042384500017954
chr1	19746204	19746204	1	*	9.57188078226547	0.0492141740489837	8.95800887861683e-17	TRUE	cg23519022	0.0323499041733009
chr1	20249430	20249430	1	*	8.48521935858498	0.0801802721088433	5.52742838897048e-14	TRUE	cg16825000	0.0474322084999376
chr1	20395367	20395367	1	*	6.33013099269963	0.0316987179487178	9.38111308859899e-09	TRUE	cg19521927	0.03518526480696
chr1	20397074	20397074	1	*	6.41681982454509	0.03943860365418	6.16442867985898e-09	TRUE	cg24335149	0.0378233502970286
chr1	20834501	20834501	1	*	7.47617934075578	0.0205198305737389	2.16402425300294e-11	TRUE	cg12497298	0.0631938145461302
chr1	21437982	21437982	1	*	13.0865628259622	0.0653308823529413	1.34259775369613e-26	TRUE	cg13149996	0.0599672845246838
chr1	22264515	22264515	1	*	11.6735701958449	0.129620098039216	1.31598534960639e-22	TRUE	cg12274479	0.576379944421651
chr1	22468902	22468902	1	*	16.3653342016713	0.144412783981517	7.31448744153097e-36	TRUE	cg03133269	-0.284942597135141
chr1	22970339	22970339	1	*	7.07198312014444	0.0592395071236041	1.83482948228492e-10	TRUE	cg00136477	0.482736963357756
chr1	23522636	23522636	1	*	6.41530663496394	0.0527304574116706	6.12194610631392e-09	TRUE	cg20887241	0.376353854792839
chr1	23693926	23693926	1	*	9.48726330737931	0.056780946601942	1.38494519544131e-16	TRUE	cg10347418	0.0372946069173626
